Date,Price,Open,High,Low,Vol.,Change %
1/18/2017,19.04,19.04,19.04,19.04,,0.00%
1/19/2017,19.04,19.04,19.04,19.04,,0.00%
1/20/2017,19.04,19.1,19.1,19.1,0.13K,0.00%
1/23/2017,19.04,19.04,19.04,19.04,,0.00%
1/24/2017,19.36,19.2,19.4,19.2,4.64K,1.68%
1/25/2017,19.2,19.2,19.2,19.2,2.60K,-0.83%
1/26/2017,19.2,19.2,19.2,19.1,2.60K,0.00%
1/27/2017,19.98,19.98,19.98,19.22,3.60K,4.06%
1/30/2017,19.98,19.98,20,19.98,0.11K,0.00%
1/31/2017,19.98,19.98,19.98,19.24,0.04K,0.00%
2/1/2017,19.22,19.98,19.98,19.22,1.01K,-3.80%
2/2/2017,20.24,20,20.6,20,22.41K,5.31%
2/3/2017,20.5,20.52,20.52,20.5,6.15K,1.28%
2/6/2017,20.4,20.4,20.6,20.4,10.91K,-0.49%
2/7/2017,20.58,20.58,20.58,20.5,11.01K,0.88%
2/8/2017,20.6,20.58,20.6,20.58,85.15K,0.10%
2/9/2017,20.72,20.5,20.8,20.5,206.87K,0.58%
2/13/2017,20.72,20.4,20.4,19.32,0.20K,0.00%
2/14/2017,19.5,19.4,19.5,19.3,6.32K,-5.89%
2/15/2017,19.16,19.4,19.4,19,10.25K,-1.74%
2/16/2017,19.16,19.16,19.16,19.16,,0.00%
2/17/2017,19.16,19.16,19.16,19.16,,0.00%
2/20/2017,21,20,21,20,1.68M,9.60%
2/21/2017,21,20.98,20.98,20.98,0.05K,0.00%
2/22/2017,21,21,21,21,,0.00%
2/23/2017,21,21,21,21,,0.00%
2/27/2017,21,20.9,20.9,19.7,0.11K,0.00%
2/28/2017,21,21,21,21,,0.00%
3/1/2017,21,19.2,20,19.2,0.16K,0.00%
3/2/2017,21,19.6,19.9,19.6,0.37K,0.00%
3/3/2017,20.6,20.6,20.6,20.6,0.50K,-1.90%
3/6/2017,21,20,21,20,202.50K,1.94%
3/7/2017,21,21,21,21,,0.00%
3/8/2017,20,20.96,20.96,20,16.51K,-4.76%
3/9/2017,20.02,20.02,20.02,20.02,275.00K,0.10%
3/10/2017,20.02,20.02,20.02,20.02,1.00K,0.00%
3/13/2017,20.02,20.4,20.4,20.4,0.08K,0.00%
3/14/2017,20.02,20.4,20.4,20.02,0.25K,0.00%
3/15/2017,20.02,20.02,20.02,20.02,23.90K,0.00%
3/16/2017,20.02,20.02,20.4,20.02,1.71K,0.00%
3/17/2017,21,20.4,21,20.4,139.03K,4.90%
3/20/2017,21,21,21,21,0.15K,0.00%
3/21/2017,21,21,21,21,0.26K,0.00%
3/22/2017,21,21,21,21,428.11K,0.00%
3/23/2017,21,20.8,20.8,20.6,0.13K,0.00%
3/24/2017,20.44,20.6,20.6,20.42,2.74K,-2.67%
3/27/2017,20.4,20.4,20.4,20.4,2.30K,-0.20%
3/28/2017,20.4,20.4,20.4,20.4,,0.00%
3/29/2017,20.4,20.4,20.4,20.4,,0.00%
3/30/2017,20.4,20.4,20.4,20.4,,0.00%
3/31/2017,20.4,20.98,20.98,20.98,0.03K,0.00%
4/3/2017,20.4,20.4,20.4,20.4,,0.00%
4/4/2017,20.4,20.8,20.8,20.8,0.03K,0.00%
4/5/2017,20.4,20.96,20.96,20.96,0.01K,0.00%
4/6/2017,20.7,20.7,21.18,20.7,1.52K,1.47%
4/7/2017,20.7,20.7,20.7,20.7,,0.00%
4/11/2017,20.6,21.18,21.18,20.6,1.51K,-0.48%
4/12/2017,21.16,21.18,21.18,21.16,1.85K,2.72%
4/17/2017,21.16,21.14,21.14,21.14,0.01K,0.00%
4/18/2017,21.16,21.16,21.16,21.16,,0.00%
4/19/2017,21.16,21.14,21.16,21.14,0.92K,0.00%
4/20/2017,21.16,21.24,21.26,21.24,0.45K,0.00%
4/21/2017,21.16,21,21,21,0.05K,0.00%
4/24/2017,21.16,21.1,21.1,21.1,0.01K,0.00%
4/25/2017,21.26,21,21.4,21,9.08K,0.47%
4/26/2017,21.26,21,21.3,21,0.21K,0.00%
4/27/2017,21,21,21.2,20,2.03K,-1.22%
4/28/2017,21,21.36,21.36,21.36,0.01K,0.00%
5/2/2017,21,21,21,21,350.00K,0.00%
5/3/2017,21,21,21,20.6,150.38K,0.00%
5/4/2017,21.4,21,21.4,21,180.65K,1.90%
5/5/2017,21.4,21.4,21.4,21.4,,0.00%
5/8/2017,21.36,21.4,21.4,20.62,7.53K,-0.19%
5/9/2017,21.36,21.36,21.36,21.36,,0.00%
5/12/2017,21.36,20.8,20.8,20.8,0.40K,0.00%
5/15/2017,21.4,21.4,21.4,21.4,1.00K,0.19%
5/16/2017,21,21,21,21,132.63K,-1.87%
5/17/2017,21,20.9,21.2,20.9,0.16K,0.00%
5/18/2017,21.16,21.2,21.2,21,2.62K,0.76%
5/19/2017,21.16,21.2,21.2,21.2,0.08K,0.00%
5/22/2017,21.16,21.08,21.08,21.08,0.01K,0.00%
5/23/2017,21.16,21.2,21.2,21.08,0.10K,0.00%
5/24/2017,21.16,21.08,21.08,21.08,0.48K,0.00%
5/25/2017,21.08,21.08,21.08,21.08,4.92K,-0.38%
5/26/2017,21.08,21.08,21.08,21.08,,0.00%
5/29/2017,21.08,21.08,21.08,21.08,,0.00%
5/30/2017,21.08,21.08,21.08,21.08,,0.00%
5/31/2017,21,21.1,21.1,21,11.50K,-0.38%
6/1/2017,21,21,21,21,,0.00%
6/2/2017,21,21,21,21,,0.00%
6/5/2017,21,21,21,21,0.01K,0.00%
6/6/2017,21.4,21.4,21.98,21.4,41.86K,1.90%
6/7/2017,21.4,21.4,21.4,21.4,,0.00%
6/9/2017,21.2,21.2,21.2,21.2,1.25K,-0.93%
6/12/2017,21,21,21,21,5.00K,-0.94%
6/13/2017,21,21.02,21.02,21.02,0.01K,0.00%
6/14/2017,21,21,21,21,,0.00%
6/15/2017,21.2,21.1,21.2,21.1,14.00K,0.95%
6/16/2017,21.2,21.2,21.2,21.2,,0.00%
6/19/2017,21.2,21.48,21.48,21,0.22K,0.00%
6/20/2017,21.2,21.2,21.2,21.2,,0.00%
6/21/2017,22,21.48,22,21.48,44.82K,3.77%
6/22/2017,22.38,22,22.4,22,7.88K,1.73%
6/23/2017,22.52,22.5,22.8,22.5,0.56K,0.63%
6/27/2017,21.2,21.2,21.2,21.2,0.50K,-5.86%
